recording_id|source_artist|recording_artist|record_name|rec_artist_id|workid|rating
18145215|825|KISS|2,000 Man (with solo Ace Frehley)|1234915|582702|
18170579|825|KISS|2,000 Man / Solo Ace Frehley|1234915|582702|
7319841|825|Monster Magnet|2000 Light Years From Home|932|306567|
11481285|825|The Danse Society|2000 Light Years From Home|45979|306567|
569776|825|Sky Cries Mary|2000 Light Years From Home|47099|306567|
8687693|825|Rachael Yamagata|2000 Light Years From Home|116405|306567|
3123144|825|Dan|2000 Light Years From Home|172321|306567|
5836840|825|Dr. Phibes and the House of Wax Equations|2000 Light Years From Home|200411|306567|
10258936|825|The Multicoloured Shades|2000 Light Years From Home|438817|306567|
7959964|825|Cary Grace|2000 Light Years From Home|476347|306567|
11197966|825|Vitamin String Quartet|2000 Light Years From Home|562672|306567|
17117623|825|Vivabeat|2000 Light Years From Home|956694|306567|
17004733|825|Jimmy Creasey|2000 Light Years From Home|1382422|306567|
2116430|825|Sky Cries Mary|2000 Light Years from Home|47099|306567|
1908216|825|The Tragically Hip|2000 Light Years/The Changeling|1226|306567|
2023917|825|Grave Digger|2000 Lightyears From Home|2061|306567|
3104382|825|Groovie Ghoulies|2000 Man|41825|582702|
11401227|825|Acid Drinkers|2000 Man|52587|582702|
17146790|825|KISS|2000 Man|1234915|582702|
16892868|303|Perpetual e-Motion|5/6/11, 2 of 9: Perpetual e-Motion at the Concord Scout House|679803|8960072|
6766024|303|Debauchery|8 Days a Week|175243|368502|
15795475|303|The Fab Faux|A Day In The Life|445989|8018704|
17443068|303|Les Boréades de Montréal|A Day In The Life|612697|8018704|
14992519|303|Rockabye Baby!|A Day In the Life|529755|8018704|
13217197|303|Muscle Snog|A Day in Life|939624|8018704|
3341435|303|Phish|A Day in the Life|71|8018704|
1450609|303|Sting|A Day in the Life|983|8018704|
1234285|303|Robyn Hitchcock|A Day in the Life|1110|8018704|
1282314|303|Wes Montgomery|A Day in the Life|1156|8018704|
14245326|303|Paul McCartney|A Day in the Life|2122|8018704|
9739216|303|Cheap Trick|A Day in the Life|2784|8018704|
1771432|303|The Fall|A Day in the Life|4687|8018704|
191632|303|Jeff Beck|A Day in the Life|5033|8018704|
9540624|303|Grant Green|A Day in the Life|5189|8018704|
3003157|303|London Symphony Orchestra|A Day in the Life|12299|8018704|
14213434|303|Uakti|A Day in the Life|14629|8018704|
1526774|303|Lee Ritenour|A Day in the Life|35021|8018704|
7203647|303|Thom Rotella|A Day in the Life|35396|8018704|
2131261|303|Big Daddy|A Day in the Life|40623|8018704|
15397337|303|Royal Philharmonic Orchestra|A Day in the Life|42495|8018704|
19095179|303|Doctor 3|A Day in the Life|42931|8018704|
2888174|303|Barbara Dickson|A Day in the Life|46111|8018704|
5311927|303|José Feliciano|A Day in the Life|47801|8018704|
6420813|303|The Allen Toussaint Orchestra|A Day in the Life|51800|8018704|
7509073|303|Affinity|A Day in the Life|63223|8018704|
7234674|303|Wolfgang Dauner Quintet|A Day in the Life|65875|8018704|
1101988|303|Tufts University Beelzebubs|A Day in the Life|70291|8018704|
17140156|303|Gábor Szabó|A Day in the Life|73628|8018704|
5872967|303|Tok Tok Tok|A Day in the Life|77192|8018704|
5793442|303|Mae|A Day in the Life|81230|8018704|
13237280|303|Andy Timmons|A Day in the Life|87766|8018704|
10716846|303|[unknown]|A Day in the Life|97546|8018704|
9925689|303|Duofel|A Day in the Life|99929|8018704|
19037141|303|Betsy Pecanins|A Day in the Life|107639|8018704|
1525069|303|The Cat's Miaow|A Day in the Life|119284|8018704|
4472234|303|Eric Burdon & War|A Day in the Life|131333|8018704|
3364532|303|Edgar Cruz|A Day in the Life|139128|8018704|
4410818|303|Chocolate Snow|A Day in the Life|180013|8018704|
2919745|303|Brian Auger & The Trinity|A Day in the Life|189290|8018704|
7643342|303|Frankie Valli|A Day in the Life|210826|8018704|
6962160|303|Billy Rankin|A Day in the Life|322635|8018704|
6809915|303|Made in Sweden|A Day in the Life|345838|8018704|
6732566|303|Captain|A Day in the Life|350449|8018704|
15804065|303|Sweet Little Band|A Day in the Life|405069|8018704|
8018704|303|Todd Hildreth Trio|A Day in the Life|524874|8018704|
16055244|303|Deco Fiori|A Day in the Life|725857|8018704|
1356905|303|David Lanz & Paul Speer|A Day in the Life|821653|8018704|
3440122|303|John Lennon & Paul McCartney|A Day in the Life|833961|8018704|
1352173|303|Barry Gibb & The Bee Gees|A Day in the Life|845391|8018704|
9189325|303|Easy Star All-Stars feat. Michael Rose & Menny More|A Day in the Life|845414|8018704|
14989234|303|Don Niño|A Day in the Life|1176025|8018704|
17293272|303|Christopher Reyne|A Day in the Life|1347887|8018704|
16977719|303|The Flaming Lips feat. Miley Cyrus & New Fumes|A Day in the Life|1379397|8018704|
7649628|303|London Starlight Orchestra|A Day in the Life|1437706|8018704|
14655207|303|Pete Doherty & Carl Barât|A Day in the Life|1523269|8018704|
19056143|303|Rajaton With Lahti Symphony Orchestra|A Day in the Life|1628672|8018704|
648678|303|Sting|A Day in the Life (live)|983|8018704|
10296806|303|Paul McCartney|A Day in the Life / Give Peace a Chance|2122|8018704|
1960956|303|Billy Joel|A Hard Day's Night|138|6253455|
471306|303|Chet Atkins|A Hard Day's Night|312|6253455|
2185743|303|Otis Redding|A Hard Day's Night|1748|6253455|
7324932|303|Ella Fitzgerald|A Hard Day's Night|1786|6253455|
8967550|303|Peggy Lee|A Hard Day's Night|4335|6253455|
11202144|303|Howard Roberts|A Hard Day's Night|5451|6253455|
4108770|303|Shockabilly|A Hard Day's Night|7953|6253455|
9795260|303|Keely Smith|A Hard Day's Night|8563|6253455|
4301760|303|Johnny Rivers|A Hard Day's Night|9315|6253455|
4699742|303|The Kingsmen|A Hard Day's Night|10934|6253455|
7119715|303|Dionne Warwick|A Hard Day's Night|16172|6253455|
6071708|303|The Chipmunks|A Hard Day's Night|16283|6253455|
2975272|303|John Mayall|A Hard Day's Night|16332|6253455|
12990091|303|Ramsey Lewis|A Hard Day's Night|22878|6253455|
2128924|303|Hoodoo Gurus|A Hard Day's Night|23146|6253455|
10222557|303|The Hollyridge Strings|A Hard Day's Night|24501|6253455|
2894039|303|Quincy Jones|A Hard Day's Night|31747|6253455|
10821693|303|James Last|A Hard Day's Night|32763|6253455|
9953403|303|Sandy Nelson|A Hard Day's Night|33960|6253455|
699930|303|Rita Lee|A Hard Day's Night|37575|6253455|
6212802|303|Sugarcult|A Hard Day's Night|38261|6253455|
4468518|303|NICOTINE|A Hard Day's Night|40924|6253455|
9362240|303|Studio 99|A Hard Day's Night|42563|6253455|
191631|303|Goldie Hawn|A Hard Day's Night|47540|6253455|
653055|303|Hank Marvin|A Hard Day's Night|51541|6253455|
13609004|303|Manuel Barrueco|A Hard Day's Night|54210|6253455|
1509943|303|Johnny Rivera|A Hard Day's Night|58388|6253455|
7980063|303|John Bayless|A Hard Day's Night|63088|6253455|
4616703|303|Billy Preston|A Hard Day's Night|74761|6253455|
9850226|303|Mando Diao|A Hard Day's Night|105978|6253455|
1319741|303|Peter Sellers|A Hard Day's Night|107346|6253455|
3108110|303|Mega City Four|A Hard Day's Night|108168|6253455|
4673606|303|Emmerson Nogueira|A Hard Day's Night|112186|6253455|
5585228|303|Gary McFarland|A Hard Day's Night|130268|6253455|
7945949|303|The Supremes|A Hard Day's Night|137578|6253455|
9984218|303|Santo & Johnny|A Hard Day's Night|144154|6253455|
9579529|303|BeatleJazz|A Hard Day's Night|146284|6253455|
6911931|303|Sonny Curtis|A Hard Day's Night|156564|6253455|
12720530|303|Rubber Band|A Hard Day's Night|159172|6253455|
2525685|303|Count Basie & His Orchestra|A Hard Day's Night|201597|6253455|
7569196|303|Glaucs|A Hard Day's Night|279299|6253455|
8707866|303|Cathy Berberian|A Hard Day's Night|288320|6253455|
9104397|303|Munich Symphonic Sound Orchestra|A Hard Day's Night|299429|6253455|
8954073|303|Willis Jackson|A Hard Day's Night|443423|6253455|
14201214|303|Frank Chacksfield & His Orchestra|A Hard Day's Night|469807|6253455|
10723844|303|The Gary Tesca Orchestra|A Hard Day's Night|515089|6253455|
14992521|303|Rockabye Baby!|A Hard Day's Night|529755|6253455|
15317912|303|Glee Cast|A Hard Day's Night|647066|6253455|
11306287|303|The Kennedy Choir|A Hard Day's Night|734274|6253455|
2082146|303|Eddie Cano & Nino Tempo|A Hard Day's Night|815818|6253455|
9367807|303|John Lennon & Paul McCartney|A Hard Day's Night|833961|6253455|
1154609|303|The King’s Singers|A Hard Day's Night|1181909|6253455|
14461774|303|Bo Stief, Bobo Moreno & Ole Kock Hansen|A Hard Day's Night|1208584|6253455|
15265944|303|The Buddha Lounge Players|A Hard Day's Night|1214376|6253455|
3443020|303|Joyce & Banda Maluca|A Hard Day's Night|1320159|6253455|
18820207|303|Torsten Turinsky|A Hard Day's Night|1602574|6253455|
2765395|303|Arthur Fiedler & Boston Pops Orchestra|A Hard Day's Night (1965 Recording)|805801|6253455|
2765389|303|Arthur Fiedler & Boston Pops Orchestra|A Hard Day's Night (1969 Recording)|805801|6253455|
455405|303|George Maharis|A Hard Day's Night (Live)|39365|6253455|
1042199|303|Billy Joel|A Hard Day's Night (live)|138|6253455|
13932815|303|Elton John & Billy Joel|A Hard Days Night|809250|6253455|
7339078|303|Henrique Cazes & Rildo Hora|A Hard Days Night|809958|6253455|
10365376|303|John Lennon & Paul McCartney|A Hard Days Night (karaoke)|833961|6253455|
3269033|303|The Punkles|A Hard Days Night (live)|208181|6253455|
12977324|303|James Last|A Hard Day´s Night|32763|6253455|
561755|303|Otis Redding|A Hard Day’s Night|1748|6253455|
1563115|303|The Bar-Kays|A Hard Day’s Night|20117|6253455|
1990274|303|Mrs. Miller|A Hard Day’s Night|49600|6253455|
2560960|303|The Ramsey Lewis Trio|A Hard Day’s Night|76512|6253455|
2629809|303|Die 12 Cellisten der Berliner Philharmoniker|A Hard Day’s Night|104142|6253455|
8156195|303|Katja Ebstein|A Hard Day’s Night|104804|6253455|
5906899|303|Modern Gustin Trio|A Hard Day’s Night|364980|6253455|
7945520|303|Sonny J|A Hard Day’s Night|467528|6253455|
6532855|303|Vitamin String Quartet|A Hard Day’s Night|562672|6253455|
16055254|303|Monique Kessous|A Hard Day’s Night|576463|6253455|
10313845|303|Pérez Prado & His Orchestra|A Hard Day’s Night|1078367|6253455|
16445044|303|The Comets with Rosemary Scott|A Hard Day’s Night|1343489|6253455|
17795467|303|Love Life|A Hard Day’s Night|1478933|6253455|
19133681|303|The Mighty Mr. Billy|A Hard Day’s Night|1637086|6253455|
12334936|303|Deborah Dixon & Les Crossaders|A Hard Day’s Night|1638605|6253455|
3303763|303|George Martin and His Orchestra|A Hard Day’s Night (instrumental)|1265533|6253455|
11262466|303|Susan Wong|A I Love Her|56683|8954068|
6594776|303|Ellis Island|A Little Help From My Friends|346151|6372993|
9583655|303|John Lennon & Paul McCartney|A Ticket to Ride|833961|674757|
16770737|303|山田タマル|ALL YOU NEED IS LOVE|1367281|6798|
10584118|303|Element of Crime|Across The Universe|24204|8948412|
17251782|303|Steve Dobrogosz|Across The Universe|392274|8948412|
