recording_id|source_artist|recording_artist|record_name|rec_artist_id|workid|rating
9390566|The Rolling Stones|Rob Wasserman|(I Can't Get No) Satisfaction (Bass Trilogy, Part 2)|47383|357708|NULL
12584743|The Rolling Stones|Frankie Ruiz|(I Can't) Get No Satisfaction|34373|357708|60
10751165|The Rolling Stones|DEVO|(I Can’t Get Me No) Satisfaction|960339|357708|NULL
531090|The Rolling Stones|Cat Power|(I Can’t Get No) Satisfaction|35|357708|73
163059|The Rolling Stones|Britney Spears|(I Can’t Get No) Satisfaction|791|357708|80
3372244|The Rolling Stones|Bruce Springsteen|(I Can’t Get No) Satisfaction|813|357708|NULL
2309646|The Rolling Stones|Otis Redding|(I Can’t Get No) Satisfaction|1748|357708|NULL
1465526|The Rolling Stones|Television|(I Can’t Get No) Satisfaction|22062|357708|60
15804195|The Rolling Stones|Sweet Little Band|(I Can’t Get No) Satisfaction|405069|357708|NULL
379403|The Rolling Stones|DEVO|(I Can’t Get No) Satisfaction|960339|357708|100
17143982|The Rolling Stones|DEVO|(I Can’t Get No) Satisfaction|960339|357708|NULL
17004749|The Rolling Stones|Culpho Dog Gymkhana|(I Can’t Get No) Satisfaction|1299810|357708|NULL
3126770|The Rolling Stones|Paraffin Jack Flash|(I Can’t Get No) Satisfaction|1371453|357708|NULL
17004731|The Rolling Stones|The Penny–Farthings|(I Can’t Get No) Satisfaction|1382421|357708|NULL
17251406|The Rolling Stones|Bruce Springsteen & The E Street Band|(I Can’t Get No) Satisfaction|1488075|357708|NULL
16557996|The Rolling Stones|Mick Jagger, Bruce Springsteen and The Rock Hall Jam Band|(I Can’t Get No) Satisfaction|1566291|357708|NULL
10273789|The Rolling Stones|DEVO|(I Can’t Get No) Satisfaction (live)|960339|357708|80
12248946|The Rolling Stones|Frankie Goes to Hollywood|(I Can’t Get No) Satisfaction (monitor mix / Sarm sessions / May 1986 / voiceless)|1437|357708|NULL
