recordingid|sourceartist|recording_artist|recordname|recartistcredit
163059|The Rolling Stones|Britney Spears|(I Can’t Get No) Satisfaction|791
3372244|The Rolling Stones|Bruce Springsteen|(I Can’t Get No) Satisfaction|813
246837|The Rolling Stones|The Rolling Stones|(I Can’t Get No) Satisfaction|825
2309646|The Rolling Stones|Otis Redding|(I Can’t Get No) Satisfaction|1748
1465526|The Rolling Stones|Television|(I Can’t Get No) Satisfaction|22062
15804195|The Rolling Stones|Sweet Little Band|(I Can’t Get No) Satisfaction|405069
379403|The Rolling Stones|DEVO|(I Can’t Get No) Satisfaction|960339
17004749|The Rolling Stones|Culpho Dog Gymkhana|(I Can’t Get No) Satisfaction|1299810
3126770|The Rolling Stones|Paraffin Jack Flash|(I Can’t Get No) Satisfaction|1371453
17004731|The Rolling Stones|The Penny–Farthings|(I Can’t Get No) Satisfaction|1382421
17251406|The Rolling Stones|Bruce Springsteen & The E Street Band|(I Can’t Get No) Satisfaction|1488075
16557996|The Rolling Stones|Mick Jagger, Bruce Springsteen and The Rock Hall Jam Band|(I Can’t Get No) Satisfaction|1566291
16154989|The Rolling Stones|The Rolling Stones|(I Can’t Get No) Satisfaction (live)|825
10273789|The Rolling Stones|DEVO|(I Can’t Get No) Satisfaction (live)|960339
12248946|The Rolling Stones|Frankie Goes to Hollywood|(I Can’t Get No) Satisfaction (monitor mix / Sarm sessions / May 1986 / voiceless)|1437
690937|The Rolling Stones|The Rolling Stones / Jimi Hendrix|(I Can’t Get No) Satisfaction / Outro: Star Spangled Banner|1384275
5056437|The Beatles|Jerry Lee Lewis|(Intro) Little Queenie|1803
5056437|The Rolling Stones|Jerry Lee Lewis|(Intro) Little Queenie|1803
13488930|The Beatles|The Rhythmaires|(Keep Your) Hands Off My Baby|972737
397681|The Beatles|Blackstreet|(Money Can't) Buy Me Love|10661
3939505|The Beatles|Megan Mullally and Supreme Music Program|(She Came in Through the) Bathroom Window|247477
8825681|The Beatles|Tim Rose|(You’ve Got to) Hide Your Love Away|92605
11607222|The Beatles|Ron Jones|11001001: I Remember You (M23)|41746
9360866|The Beatles|John Lennon & Paul McCartney|12 Songs for Guitar: Here, There and Everywhere|833961
9360864|The Beatles|John Lennon & Paul McCartney|12 Songs for Guitar: Hey Jude|833961
9360865|The Beatles|John Lennon & Paul McCartney|12 Songs for Guitar: Michelle|833961
9360867|The Beatles|John Lennon & Paul McCartney|12 Songs for Guitar: Yesterday|833961
5025928|The Rolling Stones|The Rolling Stones|2,000 Light Years From Home|825
1420909|The Rolling Stones|The Danse Society|2,000 Light Years From Home|45979
416186|The Rolling Stones|KISS|2,000 Man|1234915
18145215|The Rolling Stones|KISS|2,000 Man (with solo Ace Frehley)|1234915
18170579|The Rolling Stones|KISS|2,000 Man / Solo Ace Frehley|1234915
234719|The Rolling Stones|The Rolling Stones|2000 Light Years From Home|825
7319841|The Rolling Stones|Monster Magnet|2000 Light Years From Home|932
11481285|The Rolling Stones|The Danse Society|2000 Light Years From Home|45979
569776|The Rolling Stones|Sky Cries Mary|2000 Light Years From Home|47099
8687693|The Rolling Stones|Rachael Yamagata|2000 Light Years From Home|116405
3123144|The Rolling Stones|Dan|2000 Light Years From Home|172321
5836840|The Rolling Stones|Dr. Phibes and the House of Wax Equations|2000 Light Years From Home|200411
10258936|The Rolling Stones|The Multicoloured Shades|2000 Light Years From Home|438817
7959964|The Rolling Stones|Cary Grace|2000 Light Years From Home|476347
11197966|The Rolling Stones|Vitamin String Quartet|2000 Light Years From Home|562672
17117623|The Rolling Stones|Vivabeat|2000 Light Years From Home|956694
17004733|The Rolling Stones|Jimmy Creasey|2000 Light Years From Home|1382422
12216906|The Rolling Stones|The Rolling Stones|2000 Light Years From Home (early backing track)|825
8448693|The Rolling Stones|The Rolling Stones|2000 Light Years From Home (live)|825
14243088|The Rolling Stones|The Rolling Stones|2000 Light Years from Home|825
2116430|The Rolling Stones|Sky Cries Mary|2000 Light Years from Home|47099
1908216|The Rolling Stones|The Tragically Hip|2000 Light Years/The Changeling|1226
2023917|The Rolling Stones|Grave Digger|2000 Lightyears From Home|2061
306562|The Rolling Stones|The Rolling Stones|2000 Man|825
3104382|The Rolling Stones|Groovie Ghoulies|2000 Man|41825
11401227|The Rolling Stones|Acid Drinkers|2000 Man|52587
17146790|The Rolling Stones|KISS|2000 Man|1234915
12939867|The Rolling Stones|The Rolling Stones|2000 Man (1967-07-xx: instrumental)|825
4130212|The Beatles|Ry Cooder|3 Cool Cats|9535
16892868|The Beatles|Perpetual e-Motion|5/6/11, 2 of 9: Perpetual e-Motion at the Concord Scout House|679803
6766024|The Beatles|Debauchery|8 Days a Week|175243
15795475|The Beatles|The Fab Faux|A Day In The Life|445989
17443068|The Beatles|Les Boréades de Montréal|A Day In The Life|612697
14992519|The Beatles|Rockabye Baby!|A Day In the Life|529755
13217197|The Beatles|Muscle Snog|A Day in Life|939624
3341435|The Beatles|Phish|A Day in the Life|71
155966|The Beatles|The Beatles|A Day in the Life|303
1450609|The Beatles|Sting|A Day in the Life|983
1234285|The Beatles|Robyn Hitchcock|A Day in the Life|1110
1282314|The Beatles|Wes Montgomery|A Day in the Life|1156
14245326|The Beatles|Paul McCartney|A Day in the Life|2122
9739216|The Beatles|Cheap Trick|A Day in the Life|2784
1771432|The Beatles|The Fall|A Day in the Life|4687
191632|The Beatles|Jeff Beck|A Day in the Life|5033
9540624|The Beatles|Grant Green|A Day in the Life|5189
3003157|The Beatles|London Symphony Orchestra|A Day in the Life|12299
14213434|The Beatles|Uakti|A Day in the Life|14629
