recordingid|sourceartist|recording_artist|recordname|recartistcredit
7509073|The Beatles|Affinity|A Day in the Life|63223
9157874|The Rolling Stones|Africa|Paint It Black|300518
10823379|The Rolling Stones|After Hours|Paint It Black|704915
1577569|The Beatles|Agents|Blue Suede Shoes|100416
596381|The Beatles|Aimee Mann|Lucy in the Sky With Diamonds|1208
7839402|The Beatles|Aimee Mann & Michael Penn|Two of Us|807585
5647725|The Beatles|Aino Bāliņa|Ob-la-di, ob-la-da|288645
14860814|The Beatles|Al Di Meola|And I Love Her|10474
14860815|The Beatles|Al Di Meola|Because|10474
14860823|The Beatles|Al Di Meola|Being for the Benefit of Mr. Kite|10474
14860820|The Beatles|Al Di Meola|Blackbird|10474
14860822|The Beatles|Al Di Meola|Day in the Life|10474
14860818|The Beatles|Al Di Meola|Eleanor Rigby|10474
14860821|The Beatles|Al Di Meola|I Am the Walrus|10474
14860817|The Beatles|Al Di Meola|I Will|10474
14860813|The Beatles|Al Di Meola|In My Life|10474
14860816|The Beatles|Al Di Meola|Michelle|10474
14860819|The Beatles|Al Di Meola|Penny Lane|10474
14860826|The Beatles|Al Di Meola|She's Leaving Home|10474
14860824|The Beatles|Al Di Meola|With a Little Help From My Friends|10474
6922313|The Beatles|Al Green|Get Back|1677
2132157|The Beatles|Al Green|I Want to Hold Your Hand|1677
4872906|The Beatles|Al Green|Memphis Tennessee|1677
1379328|The Rolling Stones|Al Green|My Girl|1677
2617576|The Beatles|Al Jarreau|She's Leaving Home|10356
615796|The Beatles|Al Kooper|Hey Jude (rehearsal tape)|49463
3901827|The Beatles|Al Kooper|I Got a Woman|49463
2758120|The Beatles|Al Kooper|Johnny B. Goode|49463
1502146|The Beatles|Al Pitrelli, Andy Timmons, Brad Gillis, Michael Lee Firkins & Steve Morse|Memphis|946528
659042|The Rolling Stones|Alabama|My Girl|9298
4812397|The Beatles|Alain Bashung|That’s All Right Mama|35991
3054777|The Beatles|Alain Souchon|Help|2583
9897320|The Beatles|Alan Bernhoft|Keep Your Hands Off My Baby|650860
455397|The Beatles|Alan Copeland|Mission: Impossible Theme / Norwegian Wood|39359
4806154|The Beatles|Alan Lorber Orchestra|Within You Without You|140309
6053335|The Beatles|Alan Vega|Be Bop A Lula|31271
1042192|The Beatles|Alanis Morissette|Dear Prudence|40
1376503|The Beatles|Alanis Morissette|Happiness Is a Warm Gun (live version)|40
432515|The Beatles|Albert King|Blue Suede Shoes|21320
3788174|The Rolling Stones|Albert King|Honky Tonk Woman|21320
285168|The Beatles|Albert King|Kansas City|21320
4416486|The Rolling Stones|Albert Kuvezin and Yat-Kha|Play With Fire|1508417
6556204|The Rolling Stones|Albert Mangelsdorff & Members of Klaus Lage Band|Angie|1202354
6556213|The Beatles|Albert Mangelsdorff & Members of Klaus Lage Band|Michelle|1202354
10820174|The Beatles|Aled Jones|Because|35921
10820176|The Beatles|Aled Jones|Because (Aled's four part harmony)|35921
13427387|The Beatles|Aled Jones|Yesterday|35921
1082390|The Rolling Stones|Alejandro Escovedo|Sway|7615
2689423|The Beatles|Alex Chilton|I'm So Tired, Part One & Two|1589
2689410|The Rolling Stones|Alex Chilton|Jumpin' Jack Flash|1589
12232515|The Rolling Stones|Alex Harvey|Jumping Jack Flash|93331
5561775|The Beatles|Alex Harvey and His Soul Band|Shout|544363
9631582|The Beatles|Alex Lloyd|Golden Slumbers|31051
12794370|The Rolling Stones|Alex Winston|Play With Fire|789504
9066577|The Rolling Stones|Alexis Korner|Get Off My Cloud|93332
10557495|The Beatles|Alexis Korner's Blues Incorporated|Kansas City|203817
14192073|The Rolling Stones|Alfie Boe|Angie|405774
14192074|The Rolling Stones|Alfie Boe|Shine a Light|405774
4726330|The Beatles|Alice Babs|Yesterday|65606
17056933|The Beatles|Alice Cooper|Eleanor Rigby|859426
18609726|The Beatles|Alice Cooper|Revolution|859426
1352168|The Beatles|Alice Cooper feat. Bee Gees|Because|1537265
6336655|The Beatles|Alice Cooper, Steve Vai, Duff McKagan & Mikkey Dee|Hey Bulldog|846511
821463|The Beatles|Alice Donut|Helter Skelter|7831
17339756|The Rolling Stones|Alice Russell|Brown Sugar|58965
4687187|The Rolling Stones|Alicia Keys feat. Adam Levine|Wild Horses|898661
2857586|The Rolling Stones|Alien Sex Fiend|Satisfaction|32837
5994412|The Beatles|Alika & Nueva Alianza|Come Togheter|1077664
12289779|The Beatles|Alison Mosshart and Carla Azar|Tomorrow Never Knows|946393
8436368|The Beatles|Alix Combelle|The Sheik of Araby|521947
8436308|The Beatles|Alix Combelle et son orchestre|The Sheik of Araby|476373
6484623|The Beatles|Allan Holdsworth|Michelle|36735
721551|The Beatles|Allan Holdsworth|Norwegian Wood (This Bird Has Flown)|36735
17056929|The Beatles|Allen Toussaint|Lady Madonna|43719
3036401|The Beatles|Allison Crowe|In My Life|179539
3036399|The Beatles|Allison Crowe|Let It Be|179539
3036403|The Rolling Stones|Allison Crowe|Shine a Light|179539
17000588|The Beatles|Allison Weiss|In My Life (The Beatles Cover)|620749
4251589|The Beatles|Alma Cogan|Eight Days a Week|142105
4948395|The Beatles|Alma Cogan|Help!|142105
4251591|The Beatles|Alma Cogan|I Feel Fine|142105
4251586|The Beatles|Alma Cogan|Ticket to Ride|142105
15510750|The Beatles|Alma Gluck and Orpheus Quartet|Bring Back My Bonnie to Me|1239889
6190745|The Beatles|Alton Ellis|And I Love Her|64710
675244|The Beatles|Alvin Lee|I Want You (She’s So Heavy)|52544
1151951|The Rolling Stones|Alvin Youngblood Hart|Sway|88708
11083200|The Rolling Stones|Amazonics|Jumpin' Jack Flash (Caribbean edit)|279250
5852562|The Rolling Stones|Amazonics|Jumpin’ Jack Flash|279250
4449188|The Rolling Stones|Amazonics|Let's Spend the Night Together|279250
7176833|The Beatles|Ambrosia|Magical Mystery Tour|22932
5804743|The Beatles|Amen Corner|Get Back|24338
5804775|The Beatles|Amen Corner|Penny Lane|24338
8178726|The Rolling Stones|American Heartbreak|Heartbreaker|166837
4666453|The Rolling Stones|Amiga Blues Band|Little Red Rooster|292504
4666455|The Rolling Stones|Amiga Blues Band|Not Fade Away|292504
14038893|The Beatles|Amigos|Komm gib mir Deine Hand|1057443
14038894|The Beatles|Amigos|Sie liebt Dich|1057443
3029425|The Rolling Stones|Amii Stewart|My Guy, My Girl|12689
11312837|The Rolling Stones|Amii Stewart feat. Johnny Bristol|My Guy / My Girl|1017555
11458295|The Beatles|Amorphous Androgynous|Let It Be|190397
12608270|The Rolling Stones|Amos Milburn|Down The Road Apiece|63091
1404094|The Rolling Stones|Amos Milburn|Down the Road Apiece|63091
11678302|The Beatles|Amplify|All My Lovin'|57141
14616406|The Beatles|Amy Winehouse|To Know Him Is To Love Him|124098
7149159|The Beatles|Amy Winehouse|To Know Him Is to Love Him|124098
5846724|The Rolling Stones|Ana Christensen|Like a Rolling Stone|125481
17439149|The Beatles|Ana Gasteyer|Sister Kate|1435334
10858071|The Rolling Stones|Anakelly|Under My Thumb|279252
9884062|The Beatles|Anamanaguchi|I Will|390485
4794161|The Rolling Stones|Ananda Shankar|Jumpin' Jack Flash|54562
4853020|The Rolling Stones|Ananda Shankar|Jumpin’ Jack Flash|54562
14176900|The Rolling Stones|Anastacia|You Can't Always Get What You Want|2007
5424000|The Beatles|Anathema|Eleanor Rigby|20049
4806217|The Rolling Stones|Anberlin|Like a Rolling Stone|100637
1960402|The Beatles|Anders Osborne|Happiness Is a Warm Gun|6905
17015984|The Beatles|Anderson .Paak|Blackbird|1335231
1442894|The Beatles|Andrea Bocelli feat. Joe Cocker, Tony Hadley, Paul Michiels, Dani Klein & Guo Yue|Let It Be (live)|1066802
3836496|The Rolling Stones|Andrea Re|Tumbling Dice|131824
